Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
c19b7ecd-4ad2-4b46-b49e-8d1e314e28da,2017-02-11,,999-50-6612,,,,Emilee283,Smitham825,,,,asian,nonhispanic,F,Westport  Massachusetts  US,918 Eichmann Fort Unit 19,Everett,Massachusetts,Middlesex County,02148,42.41552201068441,-71.05597185427835,66600.0,1420.76
a44e3735-c9e6-433a-b132-d8a736dda65a,2016-02-19,,999-75-9632,,,,Adrian111,Daugherty69,,,,white,hispanic,M,Peabody  Massachusetts  US,328 Heidenreich Corner,Chicopee,Massachusetts,Hampden County,,42.21676360448968,-72.5257846356827,12250.0,1679.08
e196d085-e176-489a-9d5e-4ffbce06d172,1966-07-10,1990-09-30,999-61-4855,S99947257,X76072013X,Ms.,Trinity427,Witting912,,,,black,nonhispanic,F,Sharon  Massachusetts  US,532 Reichel Dam,Wenham,Massachusetts,Essex County,,42.58754917570429,-70.86992101941576,650543.8,2150.64
da13fe5c-45e0-4a99-8059-8e0290f15929,1974-09-09,,999-28-9191,S99985861,X63238602X,Mrs.,Therese102,Jones311,,Emard19,M,white,nonhispanic,F,Brockton  Massachusetts  US,1025 Windler Junction,Springfield,Massachusetts,Hampden County,01105,42.119849868975216,-72.60210530530215,985200.0,2378.9199999999996
71bcd481-ad95-4808-a3b0-383472a1f288,1971-08-28,,999-86-2360,S99976475,X65568906X,Mr.,Albert312,Kohler843,MD,,M,white,nonhispanic,M,Worcester  Massachusetts  US,285 Fahey Bypass,Tyngsborough,Massachusetts,Middlesex County,,42.65042932139223,-71.37916831614154,1224240.0,3126.3999999999996
5bccac7f-c23a-45a9-a5bb-638bba43f8c9,1960-03-14,,999-76-4858,S99970352,X69495084X,Mr.,Vincenzo126,Larson43,,,M,white,hispanic,M,Wellesley  Massachusetts  US,981 Cruickshank Bypass Unit 39,North Andover,Massachusetts,Essex County,,42.70823124664399,-71.05972169826443,1514220.0,4108.84
2e7902d6-d7b3-49ab-b5c3-dafaf209064e,1961-03-19,,999-72-9233,S99992913,X6948480X,Mr.,Tyson541,Koepp521,,,M,white,nonhispanic,M,Boston  Massachusetts  US,1058 Williamson Brook,Holbrook,Massachusetts,Norfolk County,02368,42.13891760122955,-70.98540961846459,1559635.0,4164.679999999999
8f384c31-297d-44a3-a991-1bcb34f2d82a,2003-06-15,,999-10-7795,S99946010,,,Ivory697,Zboncak558,,,,white,nonhispanic,F,Boston  Massachusetts  US,101 Auer Mission Suite 4,Oxford,Massachusetts,Worcester County,,42.15715130123942,-71.8430304931878,342500.0,2429.0
dbe75f80-9bfe-40da-bd54-66497179d61a,1958-07-17,,999-58-5388,S99983574,X35178165X,Mr.,Jorge203,Lesch175,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,722 Considine Overpass Apt 85,North Andover,Massachusetts,Essex County,,42.645685417303405,-71.12143996772083,1261120.0,3596.3199999999997
2454b0e8-9cb0-453c-a077-cf976b6f3983,1957-11-01,,999-97-6191,S99995157,X44270747X,Mrs.,Fred155,Tillman293,,Cruickshank494,M,white,hispanic,F,Mansfield  Massachusetts  US,622 Kautzer Estate,North Andover,Massachusetts,Essex County,,42.70655152719041,-71.0447125704238,1498665.0,4309.639999999999
1eb690b0-5e6b-4eaa-a5a3-42661b56ebe3,1954-08-16,,999-82-3447,S99964694,X47520389X,Mr.,Wendell199,Hand679,,,M,white,nonhispanic,M,Palmer  Massachusetts  US,683 Lebsack Brook Unit 51,Montague,Massachusetts,Franklin County,,42.60330924017711,-72.47285881441817,200710.0,4643.799999999999
56d43e5c-26df-4fe5-ae41-9a33f18a81be,2015-09-17,,999-56-2285,,,,Jocelyn538,Casper496,,,,white,nonhispanic,F,Turin  Piedmont  IT,1055 Donnelly Ramp,Worcester,Massachusetts,Worcester County,,42.33022805853096,-71.84172946809676,1679.08,0.0
96ad08d1-edd7-4c2e-a4b0-3c16add419a1,1966-07-10,,999-93-8738,S99934999,X51760941X,Mrs.,Evie333,Satterfield305,,Gutmann970,M,black,nonhispanic,F,Southwick  Massachusetts  US,537 Borer Passage Suite 93,Wenham,Massachusetts,Essex County,,42.56348879799232,-70.86046784462094,1097520.0,2833.8799999999997
d8d2982c-ce38-4a2e-a424-d0f005c6b6d3,1980-12-08,,999-42-4492,S99987133,X52794197X,Mrs.,Keesha623,Langosh790,,Nienow652,M,white,nonhispanic,F,Holbrook  Massachusetts  US,189 Price Gardens Apt 57,Braintree,Massachusetts,Norfolk County,02184,42.2313865389225,-70.98514197972767,849975.0,2216.4399999999996
b5eeecee-311f-48ad-b5b6-7f998c35121a,1997-01-09,,999-60-8189,S99980058,X60820890X,Ms.,Jana258,Kautzer186,,,,white,nonhispanic,F,Braintree  Massachusetts  US,858 Lowe Club Suite 31,Fall River,Massachusetts,Bristol County,02747,41.68601716331111,-71.1676629536372,612535.0,2810.64
ac14c504-fcc6-418a-9210-f547eca2bb34,2003-01-25,,999-98-9686,S99934235,,,Lula998,King743,,,,white,nonhispanic,F,Boston  Massachusetts  US,997 Blanda Mall Apt 83,Agawam,Massachusetts,Hampden County,01001,42.05438044418675,-72.67951442364748,51850.0,2629.0
aeadd309-ed62-4c96-91c4-fb70e15bdf1f,1992-12-20,,999-24-6889,S99982859,X84599836X,Mrs.,Edda876,Paucek755,,Feest103,M,white,nonhispanic,F,Springfield  Massachusetts  US,1030 Legros Fork Apt 7,Hubbardston,Massachusetts,Worcester County,,42.52123212163251,-72.03606689698904,687960.0,2614.7999999999997
d2887ffc-3b53-4641-87fb-d2b9614db3e8,1983-08-23,,999-35-1697,S99950469,X23981287X,Mrs.,Karie712,Kemmer137,,Homenick806,M,white,nonhispanic,F,Milton  Massachusetts  US,391 McGlynn Well Unit 99,Gardner,Massachusetts,Worcester County,,42.53741441038454,-71.98619611221616,879885.0,2377.2799999999997
0f3c8c70-e9af-493e-af77-afa7db7200b5,2000-06-02,,999-21-3421,S99999959,,Ms.,Georgiana151,West559,,,,white,nonhispanic,F,Worcester  Massachusetts  US,275 Padberg Quay,Shrewsbury,Massachusetts,Worcester County,,42.27836256951,-71.73028227124135,522170.0,2846.48
c9f1dc27-83c3-4984-8a4e-f91fd0d0db0e,1983-04-26,,999-22-3434,S99921142,X22017981X,Mr.,Bradford382,Sauer652,,,S,white,nonhispanic,M,Somerville  Massachusetts  US,529 Rutherford Well Suite 89,Stoughton,Massachusetts,Norfolk County,,42.081356584011715,-71.08321511933424,841830.0,2232.2799999999997
