Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
b9fc13db-7ee2-3d5b-9d79-eb963e7bd8fc,ef58ea08-d883-3957-8300-150554edc8fb,Dorine689 Nolan344,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,181
921b57f4-0dba-3cd5-8534-c3ccad579571,69176529-fd1f-3b3f-abce-a0a3626769eb,Lincoln623 Marvin195,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,313
a0937fa0-e1b9-3da8-8e2c-c5edf62a16c9,5e765f2b-e908-3888-9fc7-df2cb87beb58,Imogene688 Mann644,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,183
920e102f-41ee-3853-9fd2-d2e846eaace0,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Alexis664 Maggio310,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,236
3c90fc09-4779-3d87-a9cd-4753088d8ce7,e002090d-4e92-300e-b41e-7d1f21dee4c6,Lee268 Langosh790,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,355
72daa859-e3a6-31e9-b57e-5d4f13f50640,ef6ab57c-ed94-3dbe-9861-812d515918b3,Forrest301 Greenfelder433,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,76
71860f58-78fe-3078-aa7c-73e43d7e6709,49318f80-bd8b-3fc7-a096-ac43088b0c12,Kandace783 Witting912,F,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,169
2545b306-ca23-3c97-a080-1f49b64b6f99,fbf6180e-b800-3ebe-b91d-93d0288c400e,Wilton999 Jerde200,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,133
382385a9-f8de-3c89-8ce5-ca0b0a177c28,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Barabara924 Block661,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,53
c73b410e-b7a6-3dec-8143-67348a417045,4bdaa4c2-c664-3089-aee2-7137abbad27f,Shondra529 Schroeder447,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,136
